energy_w2,eq_w2,adjoint_loss,_step,_runtime,adjoint_buffer_size,dist_w2,_timestamp
146.05776655800148,1.9570297002792358,1922.28759765625,0,85.543236327,512,1.1164435603056582,1788769359.2261868
,,1620.389404296875,1,87.346542705,1024,,1788769360.8671186
,,1071.0810546875,2,88.937499893,1536,,1788769362.6705399
,,803.8114624023438,3,90.542497049,2048,,1788769364.2614658
,,650.412109375,4,92.147518726,2560,,1788769365.8665934
,,546.0189208984375,5,93.730218703,3072,,1788769367.4714541
,,468.9689025878906,6,95.335623402,3584,,1788769369.0541961
,,416.1833190917969,7,97.044769673,4096,,1788769370.6595905
,,372.421630859375,8,98.621577337,4608,,1788769372.368767
,,335.1878662109375,9,100.214723254,5120,,1788769373.9455788
,,308.6919860839844,10,101.819894903,5632,,1788769375.5386877
,,282.4790954589844,11,103.419580691,6144,,1788769377.1437783
,,263.26959228515625,12,105.005130868,6656,,1788769378.743611
,,246.60743713378906,13,106.615712111,7168,,1788769380.3291764
,,231.20652770996094,14,108.211118621,7680,,1788769381.939594
,,218.57830810546875,15,109.802719974,8192,,1788769383.5351095
,,206.77011108398438,16,111.402514507,8704,,1788769385.1266825
,,197.91226196289062,17,113.154582419,9216,,1788769386.7264354
,,186.2626190185547,18,114.748088702,9728,,1788769388.4786513
,,143.53646850585938,19,116.343319646,10000,,1788769390.0720127
,,59.75326156616211,20,117.950405599,10000,,1788769391.667358
,,23.687904357910156,21,119.54509711,10000,,1788769393.2744205
,,25.11034393310547,22,121.125056613,10000,,1788769394.869137
,,25.851518630981445,23,122.884922587,10000,,1788769396.4490812
,,25.780864715576172,24,124.479709255,10000,,1788769398.2089229
,,25.786531448364258,25,126.071892031,10000,,1788769399.8037007
,,26.469022750854492,26,127.660854149,10000,,1788769401.3958251
,,27.264127731323242,27,129.257647863,10000,,1788769402.9848595
,,26.975847244262695,28,130.849006257,10000,,1788769404.5816455
,,27.541013717651367,29,132.441407414,10000,,1788769406.1730168
,,27.619285583496094,30,134.038112766,10000,,1788769407.7654412
,,27.8050479888916,31,135.620706004,10000,,1788769409.362123
,,28.153860092163086,32,137.213165687,10000,,1788769410.9447815
,,28.018590927124023,33,138.802896347,10000,,1788769412.5371761
,,28.752843856811523,34,140.510067962,10000,,1788769414.1269176
,,28.539602279663086,35,142.091343801,10000,,1788769415.8340585
,,28.926902770996094,36,143.688541599,10000,,1788769417.4152348
,,28.591693878173828,37,145.287362698,10000,,1788769419.0125787
,,28.35213851928711,38,146.884147684,10000,,1788769420.6114094
,,27.89539337158203,39,148.643871617,10000,,1788769422.2081645
,,27.620210647583008,40,150.222261122,10000,,1788769423.9678864
,,27.433063507080078,41,151.81494716,10000,,1788769425.5463097
,,26.26905059814453,42,153.406928343,10000,,1788769427.1388857
,,25.695932388305664,43,154.996909476,10000,,1788769428.7308795
,,25.37506103515625,44,156.585632078,10000,,1788769430.320851
,,25.253740310668945,45,158.173515494,10000,,1788769431.9095802
,,24.991836547851562,46,159.778939967,10000,,1788769433.497466
,,24.448965072631836,47,161.381121438,10000,,1788769435.1028633
,,24.482866287231445,48,162.956612688,10000,,1788769436.7050717
,,25.225757598876953,49,164.533644224,10000,,1788769438.2805662
,,25.397388458251953,50,166.302283991,10000,,1788769439.8575716
,,24.6475772857666,51,167.884489282,10000,,1788769441.6262631
,,24.71778106689453,52,169.474572464,10000,,1788769443.2084243
,,24.574546813964844,53,171.051563406,10000,,1788769444.7985172
,,24.382774353027344,54,172.635520884,10000,,1788769446.3755195
,,24.254823684692383,55,174.241484674,10000,,1788769447.9594936
,,24.549745559692383,56,175.944942917,10000,,1788769449.5655377
,,24.41445541381836,57,177.545773142,10000,,1788769451.2689378
,,25.04613494873047,58,179.126688726,10000,,1788769452.8697867
,,25.091381072998047,59,180.714604005,10000,,1788769454.450715
,,24.779787063598633,60,182.297890359,10000,,1788769456.0387003
,,25.192102432250977,61,183.894000295,10000,,1788769457.6219182
,,25.749113082885742,62,185.495460625,10000,,1788769459.2180505
,,25.599197387695312,63,187.087255775,10000,,1788769460.8194635
,,25.516952514648438,64,188.667678338,10000,,1788769462.4112396
,,25.927614212036133,65,190.270092224,10000,,1788769463.9917145
,,25.516464233398438,66,191.989751771,10000,,1788769465.5940144
,,25.3657169342041,67,193.573221019,10000,,1788769467.3138149
,,25.622962951660156,68,195.151997579,10000,,1788769468.897179
,,25.477846145629883,69,196.737216959,10000,,1788769470.4760702
,,26.012619018554688,70,198.29918813,10000,,1788769472.0612395
,,26.100601196289062,71,199.868685602,10000,,1788769473.6231997
,,26.47075653076172,72,201.583105991,10000,,1788769475.1927204
,,26.024917602539062,73,203.168202267,10000,,1788769476.9071214
,,25.960603713989258,74,204.76735487,10000,,1788769478.492252
,,26.29511260986328,75,206.362036115,10000,,1788769480.0914001
,,26.425668716430664,76,207.946162213,10000,,1788769481.6860743
,,26.875150680541992,77,209.540466572,10000,,1788769483.2702286
,,26.595048904418945,78,211.135882941,10000,,1788769484.8645043
,,26.604616165161133,79,212.744533981,10000,,1788769486.4599857
,,27.00572967529297,80,214.34959003,10000,,1788769488.0684338
,,26.374391555786133,81,215.946410217,10000,,1788769489.6736166
,,26.635704040527344,82,217.542692447,10000,,1788769491.2704444
,,26.799646377563477,83,219.258019831,10000,,1788769492.8666966
,,27.051193237304688,84,220.853964349,10000,,1788769494.5820332
